,address_geocoded,displayLongitude,displayLatitude,address
172,"улица Алихана Бокейханова 30, 010000 Нұр-Сұлтан, Қазақстан",71.42322,51.16711,"ул. Бокейханова, д. 30"
173,"улица Будапешт 1, 010000 Нұр-Сұлтан, Қазақстан",71.42059,51.06053,"ул. Будапешт, д. 1"
174,"улица Бухар Жырау 40, 010018 Нұр-Сұлтан, Қазақстан",71.44701,51.09639,"ул. Бухар Жырау, д. 30/1"
175,"улица Бухар Жырау 40, 010018 Нұр-Сұлтан, Қазақстан",71.44701,51.09639,"ул. Бухар жырау, д. 36"
176,"улица Шокана Уалиханова 20, 010000 Нұр-Сұлтан, Қазақстан",71.43995,51.17218,"ул. Валиханова, д. 20"
177,"улица Шокана Уалиханова 20, 010000 Нұр-Сұлтан, Қазақстан",71.43995,51.17218,"ул. Валиханова, д. 20"
178,"улица Шокана Уалиханова 21/3, 010000 Нұр-Сұлтан, Қазақстан",71.43765,51.17402,"ул. Валиханова, д. 21/3"
179,"улица Малика Габдуллина 12/1, 010000 Нұр-Сұлтан, Қазақстан",71.43401,51.16187,"ул. Габдуллина, д. 12/1"
180,"улица Александра Герцена 86, 010004 Нұр-Сұлтан, Қазақстан",71.36697,51.1974,"ул. Герцена, д. 86"
181,"улица Иоганна Гёте 1, 010011 Нұр-Сұлтан, Қазақстан",71.40959,51.19535,"ул. Гёте, д. 1"
182,"улица Николая Гоголя 33, 010007 Нұр-Сұлтан, Қазақстан",71.43635,51.19385,"ул. Гоголя, д. 33/1"
183,"улица Жаханша Досмухамедулы 4, 010000 Нұр-Сұлтан, Қазақстан",71.47313,51.18248,"ул. Досмухамедулы, д. 4"
184,"улица Жаханша Досмухамедулы 8, 010000 Нұр-Сұлтан, Қазақстан",71.473,51.18135,"ул. Досмухамедулы, д. 8"
185,"улица Достык 10, 010000 Нұр-Сұлтан, Қазақстан",71.4231,51.12609,"ул. Достык, д. 10"
186,"улица Достык 12, 010000 Нұр-Сұлтан, Қазақстан",71.42573,51.12616,"ул. Достык, д. 12, ВП-36"
187,"улица Достык 12, 010000 Нұр-Сұлтан, Қазақстан",71.42573,51.12616,"ул. Достык, д. 12, ВП-36"
